full_id,osm_id,osm_type,osm_versio,osm_timest,osm_uid,osm_user,osm_change,maxspeed,tiger_na_3,tiger_na_4,tiger_na_5,tiger_na_6,parking_la,name_1,turn_lan_2,oneway,lanes,hgv,destinat_1,tiger_zi_1,tiger_zi_2,tiger_revi,tiger_na_7,tiger_na_8,tiger_coun,tiger_cfcc,surface,name,highway,distance,angle,x,y,SVI_ID
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,700,298.9363084,-73.96603787,40.79968874,57
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,800,299.2128002,-73.9668228,40.8000206,58
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,900,299.2128002,-73.96760687,40.80035377,59
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,1000,299.1404032,-73.9683911,40.80068648,60
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,0,23.79150461,-73.958191,40.8056136,61
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,100,28.62178846,-73.95777201,40.80621701,62
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,200,28.9745183,-73.95733749,40.80681442,63
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,300,28.97097933,-73.95690282,40.80741177,64
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,400,28.95783275,-73.95646785,40.80800898,65
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,500,29.00644761,-73.95603044,40.80860514,66
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,600,29.00045631,-73.95559489,40.8092021,67
w5670859,5670859,way,20,2021-11-10T18:15:08.000,298513,TheBestIdea,113620807,,,,,,,,,no,,,,10027,10027,no,Ave,Morningside,"New York, NY",A41,,Morningside Avenue,residential,700,28.93687603,-73.9551599,40.80979929,68
w5670967,5670967,way,12,2021-02-15T12:16:02.000,12659899,mbest3332,99307248,,Dr,,,Riverside,,,,yes,1,,,,,no,Dr,Riverside,"New York, NY",A41,asphalt,,secondary_link,0,168.8349282,-73.9639023,40.8124025,69
w5670967,5670967,way,12,2021-02-15T12:16:02.000,12659899,mbest3332,99307248,,Dr,,,Riverside,,,,yes,1,,,,,no,Dr,Riverside,"New York, NY",A41,asphalt,,secondary_link,100,50.26135565,-73.96319263,40.81240333,70
